Date,Close,High,Low,Open,Volume,Symbol,SMA_20,SMA_50,EMA_20,EMA_50,Rolling_Std,BB_Upper,BB_Lower
2025-01-02,1901.5740966796875,1906.236174279187,1831.10952423594,1832.760612498252,7083645,INFY.NS,1883.1834289550782,1827.3521923828125,1864.9654554480744,1844.2538184498787,34.240936233099866,1951.665301421278,1814.7015564888784
2025-01-03,1883.0230712890625,1896.814862736036,1866.754528958132,1896.814862736036,6218003,INFY.NS,1883.372821044922,1829.4500122070312,1866.6852283853113,1845.7741813063174,34.228422028432654,1951.8296651017872,1814.9159769880566
2025-01-06,1882.1490478515625,1916.288731426852,1872.5821967516329,1895.8923485784164,7164403,INFY.NS,1884.123114013672,1831.111650390625,1868.1579730963829,1847.2006466610328,34.017758886328394,1952.1586317863287,1816.0875962410153
2025-01-07,1875.3502197265625,1902.254090611412,1868.357221729347,1889.093520205408,4294832,INFY.NS,1884.4727600097656,1832.8303369140624,1868.8429489659238,1848.304551487132,33.88285407366481,1952.2384681570952,1816.707051862436
2025-01-08,1877.5841064453125,1882.8774057609292,1834.460303784991,1874.5246254427705,5482050,INFY.NS,1883.7248901367188,1834.6186669921874,1869.6754401544372,1849.4527693286293,33.860449631960215,1951.4457894006393,1816.0039908727983
2025-01-09,1862.1898193359373,1895.74665458795,1855.6338390718156,1878.4583629543145,6833503,INFY.NS,1880.9640991210938,1836.035732421875,1868.9625238860085,1849.9522614857785,33.21461154559935,1947.3933222122926,1814.534876029895
2025-01-10,1910.4124755859373,1920.950700979764,1876.709930393327,1881.3233976824297,8036913,INFY.NS,1879.9904052734375,1838.5153466796876,1872.9101383336208,1852.3232502740202,31.96697011235526,1943.924345498148,1816.056465048727
2025-01-13,1905.799072265625,1925.8070469770787,1892.9785364775744,1899.777330605508,5804152,INFY.NS,1878.1692993164063,1841.6253100585936,1876.0424177557163,1854.4203413325145,29.14839022023536,1936.466079756877,1819.8725188759356
2025-01-14,1884.285888671875,1915.12327712042,1875.5930733895989,1912.2579998126723,5792162,INFY.NS,1876.226788330078,1845.1762255859376,1876.827510223922,1855.5915392673915,27.225062141801974,1930.6769126136821,1821.776664046474
2025-01-15,1893.60986328125,1901.7684398888916,1881.420549328485,1891.036010381721,2985439,INFY.NS,1874.9180236816405,1848.84369140625,1878.425829562715,1857.0824539346015,25.60166395156189,1926.1213515847644,1823.7146957785167
2025-01-16,1873.0191650390625,1910.41253260361,1861.7526156669912,1909.4412763032324,7533579,INFY.NS,1872.4558837890625,1852.0449487304688,1877.910909131891,1857.7074229975217,23.04957263217618,1918.5550290534147,1826.3567385247102
2025-01-17,1763.2672119140625,1804.5942151264317,1759.9164250856263,1797.795420989787,16409953,INFY.NS,1866.106298828125,1853.234736328125,1866.992461777812,1854.0038853079745,33.160889194869696,1932.4280772178645,1799.7845204383857
2025-01-20,1761.1790771484375,1775.407886940151,1741.6082392029955,1770.5516054927243,4333011,INFY.NS,1860.8202331542968,1853.0327172851562,1856.9149965750144,1850.3636967526986,40.6159732210513,1942.0521795963994,1779.5882867121943
2025-01-21,1748.941162109375,1779.0016155615642,1741.5111463055791,1766.7638099629812,7169109,INFY.NS,1854.8178649902343,1852.9870654296874,1846.6317742449535,1846.3863424529604,47.61309273798737,1950.044050466209,1759.5916795142596
2025-01-22,1803.0887451171875,1812.1700865447272,1753.2633671133483,1755.448693830049,8373913,INFY.NS,1852.2634582519531,1853.5018334960937,1842.4848190899281,1844.6883974594007,48.99952551149863,1950.2625092749504,1754.2644072289559
2025-01-23,1811.8299560546875,1825.5247642701756,1799.446438649042,1804.5941442893445,5907471,INFY.NS,1850.2262390136718,1853.6057568359374,1839.565308324667,1843.3998311298042,49.8259511299909,1949.8781412736537,1750.57433675369
